uk_air_id,eu_site_id,site_id,name,city,region,latitude,longitude
UKA00012,GB0729A,SIB,Sibton,East Suffolk,Eastern,52.294400,1.463497
UKA00235,GB0729A,SOUT,Southampton Centre,Southampton,South East,50.908140,-1.395778
UKA00409,GB0729A,SEND,Southend-on-Sea,Southend-on-Sea,Eastern,51.544206,0.678408
UKA00627,GB0729A,SHLW,St Helens Linkway,Saint Helens,North West & Merseyside,53.451826,-2.742134
UKA00525,GB0729A,HOPE,Stanford-le-Hope Roadside,Stanford le Hope,Eastern,51.518167,0.439548
UKA00599,GB0729A,SOTR,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees,North East,54.565819,-1.315900
UKA00535,GB0729A,EAGL,Stockton-on-Tees Eaglescliffe,Yarm,North East,54.516667,-1.358547
UKA00337,GB0729A,STOK,Stoke-on-Trent Centre,Stoke-on-Trent,West Midlands,53.028210,-2.175133
UKA00548,GB0729A,STOR,Storrington Roadside,Storrington,South East,50.916932,-0.449548
UKA00601,GB0729A,SUNR,Sunderland Wessington Way,Sunderland,North East,54.918390,-1.408391
UKA00497,GB0729A,SWA1,Swansea Roadside,Swansea,South Wales,51.632696,-3.947374
UKA00650,GB0729A,SWHO,Swindon Walcot,Swindon,South West,51.558061,-1.765678
UKA00648,GB0729A,TDHD,Telford Hollinswood,Telford,West Midlands,52.673471,-2.436692
UKA00272,GB0729A,THUR,Thurrock,Grays,Eastern,51.477070,0.317969
UKA00565,GB0729A,WAL4,Walsall Woodlands,Willenhall,West Midlands,52.605621,-2.030523
UKA00538,GB0729A,WAR,Warrington,Warrington,North West & Merseyside,53.389280,-2.615358
UKA00658,GB0729A,WBKP,West Bromwich Kenrick Park,Sandwell,West Midlands,52.508337,-1.986008
UKA00433,GB0729A,WEYB,Weybourne,North Norfolk,Eastern,52.950490,1.122017
UKA00362,GB0729A,WFEN,Wicken Fen,East Cambridgeshire,Eastern,52.298500,0.290917
UKA00603,GB0729A,WSMR,Widnes Milton Road,Widnes,North West & Merseyside,53.365391,-2.731680
UKA00482,GB0729A,WIG5,Wigan Centre,Wigan,North West & Merseyside,53.549140,-2.638139
UKA00628,GB0729A,WTHG,Worthing A27 Roadside,Worthing,South East,50.832947,-0.379916
UKA00440,GB0729A,WREX,Wrexham,Wrexham,North Wales,53.042220,-3.002778
UKA00168,GB0729A,YW,Yarner Wood,Teignbridge,South West,50.597600,-3.716510
UKA00524,GB0729A,YK11,York Fishergate,York,Yorkshire & Humberside,53.951889,-1.075861
